machine_id,machine_age,usage_intensity,operating_temp,load_factor,rpm,vibration_level,oil_quality,maintenance_count,environment,manufacturer,observed_time,event_observed
M0001,5.62,0.78,75.7,0.77,1930,4.24,0.648,10,outdoor,A,111.39,1
M0002,14.26,1.31,74.82,0.86,2514,4.998,0.172,16,outdoor,A,68.56,1
M0003,10.98,1.81,114.38,0.48,2400,8.618,0.872,4,indoor,C,49.03,1
M0004,8.98,1.6,74.97,0.74,885,3.73,0.613,6,harsh,A,88.65,1
M0005,2.34,1.71,76.32,0.7,873,8.762,0.157,18,indoor,B,205.67,1
M0006,2.34,1.49,105.56,0.88,1170,1.337,0.962,14,harsh,B,69.69,1
M0007,0.87,1.54,86.98,0.93,1403,7.88,0.518,2,outdoor,B,79.77,0
M0008,12.99,1.77,106.6,0.31,1521,8.552,0.073,14,indoor,B,28.99,1
M0009,9.02,0.87,63.92,0.77,2199,2.227,0.627,4,harsh,B,37.09,1
M0010,10.62,1.23,89.25,0.34,642,4.588,0.253,11,indoor,A,106.6,1
M0011,0.31,0.83,62.02,0.68,587,2.072,0.804,19,outdoor,B,20.9,1
M0012,14.55,1.98,63.76,0.5,1480,7.213,0.818,4,outdoor,C,36.82,1
M0013,12.49,1.92,114.39,0.51,2243,5.586,0.979,2,indoor,A,80.27,1
M0014,3.19,0.56,68.35,0.55,984,6.536,0.502,8,outdoor,A,14.94,1
M0015,2.73,1.56,91.95,0.73,2104,2.367,0.455,8,outdoor,B,54.39,1
M0016,2.75,1.89,84.67,0.53,1150,2.512,0.753,6,outdoor,B,85.05,1
M0017,4.56,0.77,80.84,0.81,2715,0.894,0.132,1,indoor,B,108.78,1
M0018,7.87,1.35,113.99,0.58,2739,3.56,0.547,20,harsh,A,124.99,1
M0019,6.48,1.87,61.31,0.35,1243,5.818,0.546,15,indoor,B,126.66,1
M0020,4.37,0.55,99.83,0.85,1075,8.65,0.089,8,indoor,A,88.32,1
M0021,9.18,1.55,117.8,0.5,1528,6.836,0.418,12,indoor,B,83.93,0
M0022,2.09,0.95,93.61,0.6,1101,4.636,0.853,18,indoor,C,134.02,1
M0023,4.38,1.89,116.21,0.78,2181,9.555,0.856,19,indoor,A,50.19,1
M0024,5.5,1.96,63.14,0.53,2565,7.333,0.099,16,harsh,B,28.21,1
M0025,6.84,1.92,85.13,0.34,2183,9.337,0.091,5,indoor,C,85.23,1
M0026,11.78,1.21,75.61,0.56,2561,5.512,0.263,3,indoor,B,90.79,1
M0027,3.0,1.79,103.85,0.96,1492,2.96,0.875,0,indoor,C,81.0,0
M0028,7.71,1.77,118.88,0.75,891,1.002,0.129,17,outdoor,B,113.91,1
M0029,8.89,0.98,75.39,0.77,2345,7.398,0.72,18,harsh,C,60.12,1
M0030,0.7,1.74,99.25,0.74,1401,1.652,0.101,8,indoor,A,279.66,1
M0031,9.11,0.56,71.89,0.44,2178,3.376,0.623,12,indoor,A,119.92,1
M0032,2.56,1.39,93.92,0.59,1177,5.558,0.356,7,indoor,A,43.53,1
M0033,0.98,0.85,87.84,0.83,703,5.862,0.789,12,indoor,B,167.19,1
M0034,14.23,0.68,118.32,0.37,2981,6.206,0.234,14,indoor,C,42.31,1
M0035,14.48,0.62,96.51,0.49,891,2.079,0.639,10,outdoor,A,129.92,1
M0036,12.13,1.54,80.97,0.49,2971,4.108,0.236,11,indoor,B,184.38,1
M0037,4.57,1.01,66.85,0.6,2943,6.363,0.714,13,outdoor,B,108.65,1
M0038,1.47,1.59,69.07,0.99,2485,9.713,0.874,3,indoor,B,95.39,1
M0039,10.26,0.6,73.52,0.35,2149,7.412,0.127,0,harsh,A,58.49,1
M0040,6.6,0.97,75.06,0.66,1945,9.265,0.867,3,harsh,B,43.84,1
M0041,1.83,1.31,111.04,0.43,2665,7.741,0.594,18,outdoor,A,66.37,1
M0042,7.43,1.69,93.67,0.98,1224,6.121,0.127,8,indoor,A,115.87,1
M0043,0.52,0.98,91.4,0.38,1669,2.324,0.428,9,indoor,C,69.33,0
M0044,13.64,1.44,66.89,0.58,2048,6.834,0.161,3,outdoor,A,99.83,1
M0045,3.88,1.83,111.61,0.82,1528,6.422,0.7,19,outdoor,A,47.41,1
M0046,9.94,1.42,103.37,0.79,1569,6.223,0.759,8,outdoor,C,56.34,1
M0047,4.68,0.85,64.06,0.6,1326,5.153,0.106,12,harsh,A,122.07,1
M0048,7.8,0.54,102.47,0.54,1911,5.522,0.506,11,harsh,B,56.72,1
M0049,8.2,1.81,92.61,0.58,2626,3.677,0.815,10,indoor,A,99.53,1
M0050,2.77,0.53,64.9,0.48,1004,5.433,0.936,11,outdoor,A,156.68,1
M0051,14.54,1.81,87.5,0.44,2836,2.377,0.514,17,indoor,A,121.63,1
M0052,11.63,1.29,89.08,0.64,2223,8.149,0.95,11,indoor,A,77.08,1
M0053,14.09,1.91,69.95,0.49,2558,2.265,0.536,15,outdoor,B,92.57,0
M0054,13.42,1.7,116.74,0.5,1890,1.307,0.394,4,indoor,B,39.83,1
M0055,8.97,2.0,111.0,0.76,2449,4.644,0.848,19,harsh,B,139.4,0
M0056,13.83,1.03,100.14,0.98,541,6.754,0.493,11,indoor,C,29.77,1
M0057,1.33,1.65,87.74,0.72,2546,4.658,0.472,20,outdoor,A,14.25,1
M0058,2.94,1.1,84.71,0.35,600,3.129,0.49,10,outdoor,B,167.79,1
M0059,0.68,1.22,99.06,0.35,2725,5.803,0.847,8,outdoor,B,48.31,1
M0060,4.88,1.44,92.73,0.97,2980,3.797,0.832,17,indoor,C,105.82,1
M0061,5.83,1.81,63.74,0.51,1235,9.362,0.404,2,harsh,A,96.84,1
M0062,4.07,1.98,90.75,0.36,1026,9.265,0.333,19,outdoor,B,133.83,1
M0063,12.43,1.65,108.38,0.72,2413,5.273,0.492,16,outdoor,C,149.64,1
M0064,5.35,1.13,87.55,0.74,1133,3.615,0.573,13,indoor,A,80.65,1
M0065,4.21,1.13,63.12,0.75,2664,7.503,0.238,0,outdoor,C,83.74,1
M0066,8.14,1.61,107.18,0.49,757,0.849,0.794,16,harsh,A,30.1,1
M0067,2.11,0.86,72.08,0.31,815,5.01,0.486,7,outdoor,B,81.28,1
M0068,12.03,0.67,75.52,0.98,2948,3.695,0.334,4,harsh,C,77.34,1
M0069,1.12,1.03,69.88,0.48,2185,9.245,0.107,4,outdoor,B,64.57,1
M0070,14.8,0.93,79.81,0.77,2617,0.614,0.239,8,indoor,B,103.97,1
M0071,11.58,0.94,105.41,0.79,1311,5.752,0.949,2,indoor,A,68.77,0
M0072,2.98,0.85,91.16,0.73,2191,7.536,0.305,18,indoor,C,100.32,1
M0073,0.08,0.56,72.29,0.52,1986,5.108,0.169,8,outdoor,B,181.24,0
M0074,12.23,0.53,112.67,0.49,2008,1.311,0.461,17,outdoor,A,25.78,1
M0075,10.6,1.98,112.77,0.72,2206,9.738,0.307,15,indoor,B,82.37,1
M0076,10.94,1.14,112.23,0.91,1938,5.421,0.035,0,outdoor,B,109.46,1
M0077,11.57,1.08,74.33,0.96,1573,6.335,0.323,1,outdoor,A,76.93,1
M0078,1.11,1.52,87.07,0.37,1190,2.748,0.544,13,outdoor,A,35.64,1
M0079,5.38,0.83,119.1,0.41,2421,5.093,0.552,13,indoor,A,97.05,0
M0080,1.74,1.92,106.32,0.96,1066,4.577,0.357,0,indoor,B,64.52,1
M0081,12.95,1.68,61.63,0.82,2231,1.212,0.447,15,indoor,B,49.38,1
M0082,9.35,0.63,63.91,0.92,1083,1.509,0.966,14,indoor,B,187.6,1
M0083,4.96,1.13,87.84,0.44,2063,8.456,0.377,14,indoor,C,78.81,1
M0084,0.95,1.82,114.55,0.71,2368,2.778,0.258,11,indoor,C,87.85,0
M0085,4.66,1.92,92.32,0.79,1047,2.352,0.243,15,outdoor,B,134.09,1
M0086,4.88,1.2,89.87,0.78,650,5.297,0.458,13,indoor,A,80.03,0
M0087,10.94,1.42,66.33,0.59,827,7.803,0.76,14,harsh,B,5.19,1
M0088,9.56,0.75,99.41,0.31,2015,1.088,0.206,14,indoor,B,63.54,0
M0089,13.31,1.99,109.33,0.71,2624,5.98,0.709,18,indoor,B,43.45,1
M0090,7.08,0.85,82.83,0.48,612,1.632,0.021,7,indoor,B,204.26,1
M0091,1.79,1.91,106.54,0.62,2335,0.846,0.419,1,indoor,A,51.48,1
M0092,10.7,1.47,117.87,0.97,1353,1.001,0.776,1,harsh,C,30.05,1
M0093,11.41,1.41,72.23,0.58,1696,8.425,0.339,9,indoor,A,97.12,1
M0094,8.42,1.27,91.4,0.89,2822,1.621,0.564,2,harsh,B,36.72,1
M0095,11.56,0.85,77.23,0.43,1330,0.929,0.205,16,harsh,A,46.97,1
M0096,7.41,0.76,107.57,0.77,1663,4.66,0.742,7,outdoor,C,70.11,1
M0097,7.84,0.83,94.66,0.98,534,8.518,0.052,3,outdoor,A,29.48,1
M0098,6.41,0.78,98.07,0.37,704,2.993,0.853,13,outdoor,A,28.68,1
M0099,0.38,1.67,107.87,0.31,1146,4.506,0.198,20,indoor,A,96.78,1
M0100,1.62,1.03,83.76,0.6,570,0.879,0.874,9,outdoor,A,85.08,0
M0101,0.47,0.59,114.91,0.36,2078,4.766,0.353,0,indoor,A,106.28,1
M0102,9.55,1.95,91.98,0.82,1566,5.987,0.723,3,indoor,B,69.85,1
M0103,4.72,1.83,69.48,0.94,1870,5.924,0.319,0,outdoor,B,78.27,0
M0104,7.63,1.89,101.75,0.6,937,3.658,0.906,16,outdoor,A,70.65,1
M0105,13.61,1.99,107.6,0.48,1240,3.498,0.127,16,harsh,A,124.03,1
M0106,3.74,0.76,79.01,0.6,2160,1.513,0.179,6,indoor,C,25.36,1
M0107,6.16,1.09,111.43,0.81,2913,3.985,0.493,19,harsh,B,74.83,1
M0108,11.33,1.64,114.37,0.31,626,1.445,0.082,14,indoor,B,69.42,0
M0109,3.43,1.54,76.61,0.71,2726,7.783,0.196,12,indoor,B,140.08,1
M0110,1.15,0.73,119.01,0.73,1942,9.68,0.944,1,indoor,A,46.3,1
M0111,4.35,1.72,68.44,0.75,1910,9.716,0.976,18,outdoor,A,62.27,1
M0112,2.42,0.84,72.12,0.47,1751,8.718,0.376,12,indoor,A,151.12,1
M0113,13.95,0.84,71.05,0.8,673,6.208,0.923,10,outdoor,C,23.05,1
M0114,12.12,1.31,113.64,0.36,725,7.158,0.545,14,harsh,C,69.76,1
M0115,9.5,1.39,99.26,0.44,2002,3.209,0.27,9,outdoor,B,101.82,1
M0116,13.07,1.37,69.13,0.91,1352,6.492,0.702,8,outdoor,A,111.64,1
M0117,12.06,0.64,86.42,0.82,2793,4.829,0.659,8,harsh,A,23.85,1
M0118,2.8,1.82,96.92,0.31,1516,5.079,0.989,19,outdoor,A,73.16,0
M0119,13.39,0.9,65.01,0.47,858,7.699,0.265,0,outdoor,B,94.16,1
M0120,8.09,0.69,112.94,0.45,2287,3.178,0.672,16,indoor,A,94.75,0
M0121,12.11,1.83,108.22,0.49,1233,3.521,0.052,11,harsh,C,11.43,1
M0122,13.44,1.93,90.31,0.47,1814,9.284,0.114,9,outdoor,A,13.26,1
M0123,4.77,1.79,118.03,0.34,2245,1.034,0.004,4,indoor,C,59.42,1
M0124,1.65,1.71,85.07,0.62,2751,5.114,0.999,17,indoor,C,38.59,1
M0125,3.42,1.48,119.05,0.81,2480,9.172,0.802,14,harsh,C,46.14,1
M0126,6.41,1.33,100.08,0.72,2191,6.298,0.787,5,indoor,B,153.52,1
M0127,12.27,0.63,98.08,0.77,2199,5.691,0.51,6,harsh,B,44.82,1
M0128,12.91,1.11,69.96,0.36,2865,2.873,0.3,16,indoor,B,160.99,1
M0129,0.1,1.06,112.92,0.97,1240,3.761,0.151,5,outdoor,B,1.49,1
M0130,7.66,0.89,85.65,0.89,503,8.594,0.285,7,indoor,B,46.29,1
M0131,6.26,1.59,69.73,0.86,1180,5.813,0.376,11,outdoor,C,14.64,1
M0132,3.33,1.24,60.76,0.88,1045,5.39,0.756,20,harsh,B,52.0,0
M0133,1.8,0.62,93.59,0.95,2155,1.446,0.54,13,outdoor,C,142.58,1
